Diện tích sử dụng,Mã BĐS,price,Pháp lý,Ngày đăng,Nhà tắm,Phòng ngủ,address,Diện tích đất
50 m2,22708834,7 tỷ 949 triệu,Sổ đỏ,15/10/2025,,,"Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",
249 m2,22556813,13 tỷ 999 triệu,Sổ đỏ,15/10/2025,4,4,"Phạm Huy Thông, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",52 m2(5x10)
50 m2,22708847,3 tỷ 390 triệu,Sổ đỏ,15/10/2025,1,2,"Lương Định Của, Phường Kim Liên, Quận Đống Đa, Hà Nội",
250 m2,22576260,13 tỷ,Sổ đỏ,15/10/2025,4,4,"Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",61 m2(4x15)
30 m2,22708849,2 tỷ 290 triệu,Sổ đỏ,15/10/2025,1,2,"Vĩnh Hồ, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",
121 m2,22578376,23 tỷ,Sổ đỏ,15/10/2025,,,"Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",121 m2(7x18)
70 m2,22709136,4 tỷ 130 triệu,Sổ đỏ,15/10/2025,1,2,"Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa, Hà Nội",
300 m2,22558596,9 tỷ,Sổ đỏ,15/10/2025,6,5,"Nguyễn Đình Thi, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",45 m2(4x11)
90 m2,22710284,4 tỷ 700 triệu,Sổ đỏ,15/10/2025,2,3,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
314 m2,22578377,23 tỷ 500 triệu,Sổ đỏ,15/10/2025,,,"Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",105 m2(8x14)
100 m2,22710282,5 tỷ 750 triệu,Sổ đỏ,15/10/2025,2,5,"Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",
300 m2,22579618,10 tỷ,Sổ đỏ,15/10/2025,4,4,"Đỗ Nhuận, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",60 m2(4x15)
50 m2,22703381,3 tỷ 390 triệu,Sổ đỏ,15/10/2025,1,2,"Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",
250 m2,22580612,12 tỷ,Sổ đỏ,15/10/2025,4,4,"Ngõ Trịnh Công Sơn, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",55 m2(4x14)
120 m2,22703409,4 tỷ 450 triệu,Sổ đỏ,15/10/2025,1,4,"Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội",
332 m2,22703388,15 tỷ 600 triệu,Sổ đỏ,15/10/2025,5,5,"Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",82 m2(5x16)
140 m2,22703414,7 tỷ 200 triệu,Sổ đỏ,15/10/2025,1,2,"Hàng Chiếu, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",
400 m2,22703397,15 tỷ 800 triệu,Sổ đỏ,15/10/2025,6,6,"Lương Thế Vinh, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",80 m2(5x16)
60 m2,22703425,4 tỷ 700 triệu,Sổ đỏ,15/10/2025,1,2,"Hàng Vôi, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội",
340 m2,22703734,16 tỷ 500 triệu,Sổ đỏ,15/10/2025,6,6,"Lê Văn Thiêm, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",65 m2(5x13)
80 m2,22703428,6 tỷ 800 triệu,Sổ đỏ,15/10/2025,2,2,"Phủ Doãn, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội",
365 m2,22703735,17 tỷ 100 triệu,Sổ đỏ,15/10/2025,5,5,"Hoàng Ngân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",75 m2(5x14)
55 m2,22703642,3 tỷ 50 triệu,Sổ đỏ,15/10/2025,1,2,"Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",
70 m2,21413260,15 tỷ,Không xác định,15/10/2025,3,3,"Trích Sài, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",70 m2(6x12)
60 m2,22703650,4 tỷ 450 triệu,Sổ đỏ,15/10/2025,1,2,"Cảm Hội, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",
164 m2,21371598,7 tỷ 200 triệu,Sổ đỏ,15/10/2025,3,3,"Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",41 m2(4x10)
65 m2,22703656,4 tỷ 650 triệu,Sổ đỏ,15/10/2025,1,2,"Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",
250 m2,21464933,11 tỷ 500 triệu,Sổ đỏ,15/10/2025,4,5,"Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","50 m2(4,5x11)"
75 m2,22703675,3 tỷ 929 triệu,Sổ đỏ,15/10/2025,2,2,"Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội",
255 m2,21471669,12 tỷ 500 triệu,Sổ đỏ,15/10/2025,5,6,"Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",85 m2(5x17)
75 m2,22703725,4 tỷ 949 triệu,Sổ đỏ,15/10/2025,1,2,"Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",
250 m2,21470986,8 tỷ,Không xác định,15/10/2025,4,6,"Nhật Chiêu, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",45 m2(4x12)
75 m2,22703751,4 tỷ 990 triệu,Sổ đỏ,15/10/2025,2,3,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",
600 m2,21491108,24 tỷ,Sổ đỏ,15/10/2025,6,8,"Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",120 m2(6x20)
50 m2,22703752,3 tỷ 100 triệu,Sổ đỏ,15/10/2025,1,2,"Bùi Ngọc Dương, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",
450 m2,21511910,21 tỷ,Sổ đỏ,15/10/2025,5,5,"Trung Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",100 m2(5x20)
80 m2,22703757,5 tỷ 700 triệu,Sổ đỏ,15/10/2025,2,2,"Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",
300 m2,21511951,13 tỷ,Sổ đỏ,15/10/2025,5,5,"Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",50 m2(4x15)
70 m2,22703756,3 tỷ 930 triệu,Sổ đỏ,15/10/2025,1,2,"Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",
600 m2,21531069,18 tỷ,Sổ đỏ,15/10/2025,5,6,"Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",120 m2(10x12)
70 m2,22705538,4 tỷ 550 triệu,Sổ đỏ,15/10/2025,1,2,"Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội",
